店舗名,予算テキスト,予算
炭火居酒屋 炎 札幌駅北口店,単品：2000円　宴会：3000円～3500円,3250.0
金獅子のホルモン 北2条店,フリー　4000円　／　宴会　4500円,4000.0
海鮮個室酒場 伊まり 札幌駅南口店,コース3000円～/飲放1200円/生サワー180円/請求書払い,3000.0
餃子のかっちゃん 札幌店,2500円,2500.0
いろり屋 札幌駅前店,2980円（個室で味わう北海道の海鮮）,2980.0
まるごと北海道 花の舞 札幌北2条店,3000円（各種飲み放題付きコース等をご用意しております♪）,3000.0
エイト・ライスフィールド・カフェ eight Ricefield cafe 札幌駅北口店,2700円,2700.0
バディバディ 札幌駅,,
濱焼北海道魚萬 新札幌駅前店,3000円,3000.0
居酒屋 あか峯札幌駅前店,,
咲か蔵 札幌北口店,【フリー】3500円～【ご宴会】3980円～,3500.0
個室 北海道極食材 籠家 かごや 札幌駅南口本店,5000～6000円,5500.0
炭火居酒屋 炎 北2条店,単品：2000円　宴会：3000円～3500円,3250.0
刺身と焼き物 ひゃくや 札幌駅JR高架下店,個室宴会3000円～/飲放1200円/生230円/刺身180円,3000.0
祐一郎商店 札幌駅前通店,3500円,3500.0
海鮮居酒屋 とれたて北海道 札幌駅前店,5000円(通常平均)　5000円(宴会平均)　700円(ランチ平均),5000.0
檸檬家 れもんや 札幌駅前店,飲み放題クーポン780円～、飲み放題付コース2980円～,
グラッツェ 札幌駅JR55店,"3,000円",3000.0
美味門 札幌駅前店,飲み放題付コース3000円～ ・ 無制限飲み放題999円,3000.0
スペイン バル トーティラ フラット 札幌駅北口店,ディナー 4000円,4000.0
炭火居酒屋 炎 北1条KOKOホテル札幌駅前店,単品：2000円　宴会：3000円～3500円,3250.0
個室居酒屋 DENDEN でんでん 札幌駅前店,飲み放題クーポン有＆食べ飲み放題有,
とりいちず 札幌駅前通り店,通常2000円・宴会3000円・チャージ料金,2000.0
きたとら KITATORA 札幌駅北口店,4000円,4000.0
酒呑倶楽部 つなよし札幌駅前店,3500円,3500.0
海鮮個室酒場 伊まり 札幌駅JR55ビル店,コース3000円～/飲放1200円/生サワー180円/請求書払い,3000.0
太陽ホエール 札幌駅前店,毎日17：00までハッピーアワー♪餃子250円　生ビール270円　,
生ソーセージバル レッカー 札幌駅北口店,【ランチ】1200円／【ディナー】2000円,1200.0
おでんとさかな せろり 札幌駅前店,3001～4000円 ,3500.5
居酒屋 バーデンバーデン 札幌駅前店,平均3000円,3000.0
海鮮食堂 海 KAI 札幌駅北口店,4000円,4000.0
居酒屋 鳥心札幌駅前店,,
居酒屋 魚ヤロウ 札幌駅前店,単品ドリンク100円~ 食べ飲み放題2480円~宴会コース3000円~,
炭火居酒屋 炎 札幌駅前 北3条店,単品：2000円　宴会：3000円～3500円,3250.0
北海道イタリアン居酒屋 エゾバルバンバン 札幌駅前通り店,2800円,2800.0
刺身と焼き物 ひゃくや 札幌駅北口店,個室宴会3500円～/飲放1200円/生230円/刺身180円,3500.0
居酒屋 四季彩 Shikisai 札幌駅前店,飲み放題付き宴会4000円～！コースじゃなくても2時間飲み放題◎,4000.0
