店舗名,予算テキスト,予算
【地鶏と鮮魚×完全個室】 鳥四季 横浜駅前店,4000-5000円,4500.0
よこはま道場 横浜駅前店,2000円~3000円,2000.0
極 KIWA 横浜本店,3000円,3000.0
個室肉バル大衆ビストロ D D 横浜東口駅前店,3000円,3000.0
韓国料理 キムチャチャ 横浜西口店,3000～4000円,3500.0
肉バル MEATBOY N Y 横浜駅前店,4000円　　☆お得なクーポンあり♪,4000.0
【全席個室 炭火焼き鳥 × 和食】 八助 横浜駅前店,ディナー　3000円～,3000.0
横浜ゴールデンホルモン,3500円,3500.0
楓 横浜駅前店,【店内感染症対策実施】3500円～4000円,3750.0
THE CLASSICA BAY RESORT横浜ベイクォーター,"8,800～9,900",9350.0
横浜テラス 横浜駅前店,3000円～,3000.0
ハレルヤ 横浜総本店,3000円,3000.0
タン治郎 横浜駅前店,３５００円,3500.0
肉の王様 新横浜店,【通常】2980円　　【宴会】3000円　　【ランチ】3000円　,2980.0
Kurosawa クロサワ 横浜駅店,"4,000円（宴会平均）",4000.0
水産酒場サーモン部 新横浜駅前店,,
西口商店 横浜駅前店,「宴会」3000円～,3000.0
大衆居酒屋 はれるや 横浜本店,3000円,3000.0
韓兵衛 横浜西口店,3500円,3500.0
炉端とおでん 呼炉凪来 横浜店,おでん食べ放題が500円♪,
まつりや 横浜駅本店,3500円,3500.0
チュウノジョウ ハナレ 横浜,4000円　飲み放題延長500円クーポン、コース500円オフクーポン有,4000.0
浜韓ポチャ 横浜駅前店,「宴会」3000円～,3000.0
若竹 新横浜駅前店,通常1500円～2000円　お好み焼き地域一番店を目指してます♪,1750.0
2000円 食べ放題飲み放題 居酒屋 おすすめ屋 横浜店,2000円で食べ放題飲み放題　＜お通し/入場料など無し！＞,2000.0
居酒屋 よっちゃれい 横浜駅 西口,2500円,2500.0
ちゅらり 横浜店,3000円,3000.0
居酒屋 満月本店 横浜駅西口,"4,400円",4400.0
【喫煙可】地鶏と茶そば 和食個室居酒屋 竹ノ蔵 新横浜駅前店,4000円《各種飲み放題付コースご用意あり！》,4000.0
居酒屋 あか峯 横浜駅前店,,
鹿児島黒豚専門店 黒ぶたや ルミネ横浜店,3500円(通常平均)1500円(ランチ平均),3500.0
福包酒場 横浜相鉄五番街店,"2,500円（通常平均）、3,000円（宴会平均）※飲み放題コースあり",2500.0
隠れ家居酒屋 くるみ堂 横浜駅前店,"3500円（通常平均）,4000円（宴会平均）.1,000円（ランチ平均）",3500.0
modern Japanese AMANE 横浜フロント店,ランチ1500円/ディナー5000円,1500.0
村木屋 横浜本店,3000円～3999円,3499.5
地鶏呑処 鶏いち,4000円,4000.0
博多の寅ちゃん 新横浜店,【通常】2980円　　【宴会】3000円　　【ランチ】3000円　,2980.0
海鮮居酒屋 魚鮮水産 新横浜駅前店,3000円,3000.0
太陽ホエール 横浜南幸店,毎日17：00までハッピーアワー♪餃子250円　生ビール270円　,
月あかり 横浜駅前店,3500円,3500.0
福包酒場 横浜鶴屋町店,"2,500円（通常平均）、3,000円（宴会平均）※飲み放題コースあり",2500.0
コート・ダジュール 新横浜駅前店,昼1000円～2000円/夜　1500～3000円,1500.0
Churrasco House BILLY 新横浜店,宴会コース3200円(税抜き)～！,3200.0
modern Korean NOURU ノウル 横浜駅前店,5000円,5000.0
ミライザカ JR横浜西口駅前店,2400円（通常平均）3500円（宴会平均）,2400.0
九州自慢 横浜西口店,3500円(ディナー),3500.0
いち凛 新横浜本店,飲み放題付コース2980円～ ・ 単品飲み放題1100円～,2980.0
はじめや 居酒屋 横浜駅,3000円～3500円,3250.0
くいもの屋 わん 横浜西口駅前店,3000円（通常）3500円（宴会）　,3000.0
個室居酒屋 紬 横浜駅前店,3300円◆24時まで元気に営業中！,3300.0
焼肉 カルビランド 横浜西口店,ランチ1000円/ディナー3500円〈誕生日記念日お祝い随時受付中〉,1000.0
旬菜や くらち 横浜駅,4500円（通常平均）　5000円（宴会平均）,4500.0
たまごのきもち 横浜駅前店,3000円～,3000.0
150種食べ飲み放題　完全個室居酒屋　アジト　横浜駅前店,"3,000円",3000.0
居酒家 土間土間 横浜駅前店,お得な期間限定コースを多数ご用意☆予算2500円☆,2500.0
水産酒場 まぐろ部 新横浜駅前店,ランチ1000円/ディナー3000円,1000.0
村木屋 横浜 はなれ,4000円～5000円,4500.0
華寿鳥 新横浜店,食べ飲み放題コース3888円～ ・ 飲み放題付コース3188円～,3888.0
楽天家 横浜北西口,2800円　期間限定★食べ放題1650円,2800.0
肉の三ちょう 新横浜店,宴会コース【お料理のみ2499円～ ・飲み放題付3499円～】,2499.0
和牛むらき,6000円～7000円,6500.0
居酒屋 しま田 新横浜店,飲み放題付コース4500円～ ・ 単品飲み放題1099円～,4500.0
鳥心 とりしん 横浜駅前店,全席アルコール常備♪予算３５００円♪,3500.0
焼肉 むらき 本店 鶴屋町,4000円～5000円,4500.0
Cheese Meets Meat YOKOHAMA チーズミーツミート 横浜,3500円（無制限ワイン飲み放題１９８０円♪完全個室あります！）,3500.0
和牛肉酒場 じゅーしゐ 横浜駅前店,3500円,3500.0
木村屋本店 横浜鶴屋町店,宴会4000円・その他3500円,4000.0
居酒屋 日吉商店 横浜西口店,"3,000円",3000.0
和牛酒処 牛なり,4000円,4000.0
日吉商店 横浜駅前店,"3,000円",3000.0
プルメリアカフェ Plumeria Cafe,ランチ：1000円～/ディナー：4000円～,1000.0
目利きの銀次 新横浜駅前店,3000円,3000.0
Light House ライトハウス 横浜店,3000円～,3000.0
茅ヶ崎 海ぶね 横浜西口天理ビル店,3500円（通常）/900円（ランチ）◆飲放題付宴会コース4300円～,3500.0
肉バルダイニング テアトロピッコロ 横浜駅前店,4000円,4000.0
横浜西口 居酒屋 さがみ,2800円,2800.0
居酒屋 マルミヤ酒場 横浜駅前西口,"3,500円（通常平均）4,500円（宴会平均）",3500.0
完全個室焼肉 ITADAKI 横浜駅前,"コースは5,500円～ご用意ございます。",5500.0
福包酒場 横浜東口店,イチ押しの火鍋サワー飲み放題は90分968円でご用意！,
OTTIMO オッティモ Seafood garden シーフードガーデン ルミネ横浜店,(ディナー)4000円　(ランチ)1600円　(ご宴会)5000円,4000.0
居酒屋 135酒家 横浜駅 西口,3000円,3000.0
BISTRO RUBAN ビストロリュバン,ディナー4000円～4999円(税込)/ランチ1000円～1999円(税込),4499.5
カルニセリア 横浜駅前店,4000～5000円,4500.0
海底撈火鍋 横浜駅前店,ランチ1500～2500円、ディナー3000～5000円♪,2000.0
韓国居酒屋 韓兵衛 スカイビル店,ランチ1200円／ディナー3000円,1200.0
Lien Lien リアン リアン 横浜,"3,500円（通常平均）4,500円（宴会平均）",3500.0
鎌倉海街テーブル,ランチ：2000～3000円(税込) ディナー：3000～4000円(税込),2500.0
沖縄酒場 わらゆん 横浜,,
韓兵衛 横浜鶴屋町店,ランチ 800円 ディナー 3000円,
祭雛 ヨドバシ横浜,,
横浜西口 焼き鳥居酒屋 とり一,2500円,2500.0
韓兵衛 横浜天理ビル店,"2,500円～3,500円",3000.0
中国家庭料理 ニイハオ GEMS新横浜駅前店,3000円～4000円,3500.0
豚屋 鳥山 よこはま,"ランチ1,000円～／ディナー2,000円～",1000.0
good spoon pizzeria&cheese 横浜モアーズ店,通常2800円／宴会4500円～／ランチ1500円,2800.0
モルゲン 横浜駅前店,"￥4,900",4900.0
咲くら 横浜店,,
それゆけ!鶏ヤロー 横浜店,2500円,2500.0
くろさわ 横浜駅店,"4,000円（宴会平均）",4000.0
TGIフライデーズ 横浜西口店,2800円,2800.0
